,Country name,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Regional indicator
34,Ethiopia,7.7051310539245605,0.7480577826499939,59.0,0.7535155415534973,0.052575621753931046,0.7318453192710876,0.6311823129653931,0.282738596200943,Sub-Saharan Africa
35,Finland,10.791812896728516,0.9374155402183533,72.0,0.947616696357727,-0.05152498185634613,0.1953384280204773,0.7552103400230408,0.1807328760623932,Western Europe
36,France,10.740378379821777,0.9583480954170227,74.0,0.8272408246994019,-0.13316617906093597,0.5682722926139832,0.735154926776886,0.25041553378105164,Western Europe
37,Gabon,9.607087135314941,0.7630516886711121,60.20000076293945,0.736349880695343,-0.20251981914043427,0.8462542295455933,0.6927024126052856,0.4129609763622284,Sub-Saharan Africa
38,Gambia,7.699349880218506,0.6938701272010803,55.29999923706055,0.6765952706336975,0.4101804792881012,0.7981081008911133,0.7728161811828613,0.40072327852249146,Sub-Saharan Africa
39,Georgia,9.6167573928833,0.6749760508537292,64.30000305175781,0.8105341196060181,-0.25972241163253784,0.647223174571991,0.6044910550117493,0.24371002614498138,Commonwealth of Independent States
40,Germany,10.893314361572266,0.8856673240661621,72.5,0.884751558303833,0.05709971860051155,0.4622551500797272,0.7506092190742493,0.22617121040821075,Western Europe
41,Ghana,8.596489906311035,0.7462478280067444,57.599998474121094,0.7874477505683899,0.11595781147480011,0.856665849685669,0.6821723580360413,0.2699401080608368,Sub-Saharan Africa
42,Greece,10.31938362121582,0.8908095359802246,72.5999984741211,0.6135841012001038,-0.28867843747138977,0.8480038046836853,0.6675137877464294,0.23594646155834198,Western Europe
43,Guatemala,9.063875198364258,0.774074375629425,65.0999984741211,0.9006763100624084,-0.06230298802256584,0.7725779414176941,0.859412670135498,0.3107892572879791,Latin America and Caribbean
44,Guinea,7.849340438842773,0.6551241874694824,55.5,0.691399097442627,0.09681724011898041,0.7555854916572571,0.6846469044685364,0.4733884334564209,Sub-Saharan Africa
45,Honduras,8.653117179870605,0.7971483469009399,67.4000015258789,0.8461900353431702,0.06270892173051834,0.8149629235267639,0.8499549627304077,0.27888208627700806,Latin America and Caribbean
46,Hungary,10.392767906188965,0.9465155601501465,68.0,0.798041045665741,-0.19490307569503784,0.883571445941925,0.7430143356323242,0.18034812808036804,Central and Eastern Europe
47,India,8.817933082580566,0.5607807636260986,60.5,0.8755403161048889,0.1117793619632721,0.751979410648346,0.6477522253990173,0.46633562445640564,South Asia
48,Indonesia,9.376888275146484,0.8019180297851562,62.29999923706055,0.8658591508865356,0.5553480386734009,0.8607847690582275,0.8767140507698059,0.3017027974128723,Southeast Asia
49,Ireland,11.371147155761719,0.9437263607978821,72.4000015258789,0.8924586772918701,0.0736127719283104,0.37280356884002686,0.8070148825645447,0.22329986095428467,Western Europe
50,Israel,10.600674629211426,0.9460106492042542,73.5,0.8344919085502625,0.08543713390827179,0.7428677678108215,0.634592592716217,0.2658916711807251,Middle East and North Africa
51,Italy,10.65520191192627,0.8384024500846863,73.80000305175781,0.7094788551330566,-0.08156095445156097,0.8655280470848083,0.6310797929763794,0.3279600739479065,Western Europe
52,Ivory Coast,8.56374454498291,0.6793860197067261,50.099998474121094,0.7357119917869568,-0.017261408269405365,0.7992712259292603,0.6742352843284607,0.42540717124938965,Sub-Saharan Africa
53,Jamaica,9.186201095581055,0.8778144717216492,67.5,0.8906708359718323,-0.13679705560207367,0.8853300213813782,0.7520411014556885,0.1952841430902481,Latin America and Caribbean
54,Japan,10.631743431091309,0.8776509165763855,75.0999984741211,0.8064715266227722,-0.25461897253990173,0.6171878576278687,0.7428444027900696,0.19441038370132446,East Asia
55,Kazakhstan,10.179278373718262,0.9510501027107239,65.19999694824219,0.8523874282836914,-0.055017028003931046,0.7082791924476624,0.787135124206543,0.13913293182849884,Commonwealth of Independent States
56,Kenya,8.373292922973633,0.6759316325187683,60.70000076293945,0.8177574872970581,0.310065358877182,0.7943702936172485,0.751438558101654,0.2506871223449707,Sub-Saharan Africa
57,Kyrgyzstan,8.566573143005371,0.8770278692245483,64.4000015258789,0.9204362630844116,-0.002360597485676408,0.8845399022102356,0.7657415866851807,0.20722906291484833,Commonwealth of Independent States
58,Laos,8.965256690979004,0.7294439077377319,59.099998474121094,0.9061534404754639,0.061081741005182266,0.6202337145805359,0.878179669380188,0.30614426732063293,Southeast Asia
59,Latvia,10.336246490478516,0.9355012774467468,67.0999984741211,0.6979351043701172,-0.1939789056777954,0.7892274856567383,0.5752347111701965,0.2116306871175766,Central and Eastern Europe
60,Lebanon,9.596782684326172,0.8659685254096985,67.5999984741211,0.44700148701667786,-0.08108239620923996,0.890415608882904,0.32168975472450256,0.4944990277290344,Middle East and North Africa
61,Lesotho,7.925776958465576,0.7897053956985474,48.70000076293945,0.7163135409355164,-0.13053622841835022,0.9149514436721802,0.7348799109458923,0.27342551946640015,Sub-Saharan Africa
62,Liberia,7.263903617858887,0.7124737501144409,56.900001525878906,0.7058745622634888,0.050611626356840134,0.8284689784049988,0.635608971118927,0.3891325891017914,Sub-Saharan Africa
63,Libya,9.627349853515625,0.826719343662262,62.29999923706055,0.7619643211364746,-0.07267285138368607,0.6864129900932312,0.7087408900260925,0.4007374346256256,Middle East and North Africa
64,Lithuania,10.517995834350586,0.9175775051116943,67.9000015258789,0.7802664637565613,-0.25147512555122375,0.782501220703125,0.566024124622345,0.27605435252189636,Central and Eastern Europe
65,Luxembourg,11.648168563842773,0.9121045470237732,72.5999984741211,0.930321216583252,-0.04505761340260506,0.38959842920303345,0.7891863584518433,0.21163980662822723,Western Europe
66,Madagascar,7.4062371253967285,0.7006101012229919,59.5,0.5495352149009705,-0.012468654662370682,0.7199826836585999,0.7231946587562561,0.3039596676826477,Sub-Saharan Africa
67,Malawi,6.965763092041016,0.5489560961723328,58.29999923706055,0.7648642063140869,0.003596819471567869,0.680247962474823,0.5366970300674438,0.348162442445755,Sub-Saharan Africa
68,Malaysia,10.252403259277344,0.8424988389015198,67.19999694824219,0.9157786965370178,0.12332413345575333,0.7819439172744751,0.8341774940490723,0.17607168853282928,Southeast Asia
69,Mali,7.752494812011719,0.7545580863952637,52.20000076293945,0.6704050898551941,-0.03785175830125809,0.846340000629425,0.7115226984024048,0.35776451230049133,Sub-Saharan Africa
70,Malta,10.676836013793945,0.9215785264968872,72.19999694824219,0.9239668250083923,0.08719172328710556,0.6894105672836304,0.7065961360931396,0.35624393820762634,Western Europe
71,Mauritania,8.555842399597168,0.7981019616127014,57.29999923706055,0.6275051832199097,-0.10185665637254715,0.7428902983665466,0.6918314695358276,0.2597385048866272,Sub-Saharan Africa
72,Mauritius,10.04278564453125,0.9131342768669128,66.69999694824219,0.8931578993797302,-0.05276689678430557,0.8102008104324341,0.8082379102706909,0.1493627279996872,Sub-Saharan Africa
73,Mexico,9.890727996826172,0.8516858220100403,68.5999984741211,0.9033844470977783,-0.14089472591876984,0.8085376024246216,0.8644745945930481,0.25198301672935486,Latin America and Caribbean
74,Moldova,9.475306510925293,0.8091670870780945,65.69999694824219,0.7836645841598511,-0.09240616858005524,0.883822500705719,0.6309745907783508,0.2616209387779236,Commonwealth of Independent States
75,Mongolia,9.4181489944458,0.9457581043243408,62.5,0.7106751799583435,0.14891226589679718,0.8731669187545776,0.7074342966079712,0.16692139208316803,East Asia
76,Montenegro,9.970144271850586,0.8316249251365662,68.69999694824219,0.6941624879837036,-0.10481426864862442,0.8199973702430725,0.5910943150520325,0.3659581243991852,Central and Eastern Europe
77,Morocco,8.9246187210083,0.5348040461540222,66.19999694824219,0.756747841835022,-0.2443137764930725,0.7568674087524414,0.588882565498352,0.409911572933197,Middle East and North Africa
78,Mozambique,7.154966831207275,0.742303729057312,55.20000076293945,0.8698102235794067,0.07274501770734787,0.6819004416465759,0.5872747302055359,0.384122759103775,Sub-Saharan Africa
79,Myanmar,8.54522705078125,0.7629948854446411,59.29999923706055,0.899064302444458,0.561138391494751,0.6817958354949951,0.7546182870864868,0.2855762243270874,Southeast Asia
80,Namibia,9.173383712768555,0.8445921540260315,56.79999923706055,0.7390345335006714,-0.1736866682767868,0.8790706992149353,0.6715329885482788,0.2561607360839844,Sub-Saharan Africa
81,Nepal,8.136457443237305,0.772273063659668,64.5999984741211,0.790347695350647,0.16697579622268677,0.7118424773216248,0.5357981324195862,0.35710030794143677,South Asia
82,Netherlands,10.953283309936523,0.9414774775505066,72.4000015258789,0.885592520236969,0.21253405511379242,0.36006811261177063,0.8383005261421204,0.23050227761268616,Western Europe
83,New Zealand,10.666336059570312,0.9388211965560913,73.4000015258789,0.9120423793792725,0.15674664080142975,0.2338312268257141,0.8160226345062256,0.1911763697862625,North America and ANZ
84,Nicaragua,8.59546947479248,0.873863935470581,67.80000305175781,0.8826784491539001,0.029247265309095383,0.6219817399978638,0.835423469543457,0.33701297640800476,Latin America and Caribbean
85,Niger,7.105849266052246,0.6769587397575378,54.0,0.8313618898391724,0.025959890335798264,0.7288551330566406,0.8159151673316956,0.3044382631778717,Sub-Saharan Africa
86,Nigeria,8.54393196105957,0.7335179448127747,50.099998474121094,0.7293669581413269,0.03228462114930153,0.873140275478363,0.7149908542633057,0.24523738026618958,Sub-Saharan Africa
87,North Macedonia,9.711484909057617,0.8146384954452515,65.47435760498047,0.7247104048728943,0.024418959394097328,0.9225972294807434,0.5763004422187805,0.3036058843135834,Central and Eastern Europe
88,Norway,11.06088924407959,0.9417840242385864,73.30000305175781,0.9540444612503052,0.11068715900182724,0.2705717980861664,0.8227158188819885,0.19548650085926056,Western Europe
89,Pakistan,8.453290939331055,0.6172957420349121,58.900001525878906,0.6846755743026733,0.12372947484254837,0.775998055934906,0.5810673832893372,0.4242400825023651,South Asia
90,Panama,10.356431007385254,0.8857213854789734,69.69999694824219,0.882961094379425,-0.1989849954843521,0.8688275218009949,0.877561628818512,0.2435666024684906,Latin America and Caribbean
91,Paraguay,9.44814395904541,0.8924871683120728,65.9000015258789,0.8760526180267334,0.02811283804476261,0.8817861080169678,0.857724130153656,0.2751867175102234,Latin America and Caribbean
92,Peru,9.46093463897705,0.8090759515762329,68.4000015258789,0.8148059248924255,-0.1297357827425003,0.8736019134521484,0.820448100566864,0.3749854862689972,Latin America and Caribbean
93,Philippines,9.094724655151367,0.8450947403907776,62.0,0.9095985889434814,-0.08258053660392761,0.7484421133995056,0.780896782875061,0.34056949615478516,Southeast Asia
94,Poland,10.406877517700195,0.8782682418823242,69.69999694824219,0.882885754108429,-0.23071840405464172,0.6960573792457581,0.7251600623130798,0.16808968782424927,Central and Eastern Europe
95,Portugal,10.457315444946289,0.8760825991630554,72.5999984741211,0.8823511004447937,-0.2338545173406601,0.9151656031608582,0.7098221778869629,0.29987475275993347,Western Europe
96,Romania,10.305913925170898,0.841905951499939,67.5,0.8475431799888611,-0.22142210602760315,0.9541307091712952,0.6974433660507202,0.24365922808647156,Central and Eastern Europe
97,Russia,10.205218315124512,0.9100988507270813,64.69999694824219,0.7147660851478577,-0.11557179689407349,0.847705066204071,0.6913514137268066,0.2004215568304062,Commonwealth of Independent States
98,Rwanda,7.7080607414245605,0.48945823311805725,61.70000076293945,0.868999183177948,0.06406588107347488,0.16797089576721191,0.7360679507255554,0.4176676869392395,Sub-Saharan Africa
99,Senegal,8.130020141601562,0.6876140832901001,60.0,0.7588417530059814,-0.01880391500890255,0.7956734299659729,0.7889730334281921,0.3319258391857147,Sub-Saharan Africa
100,Serbia,9.808065414428711,0.9032942652702332,68.5999984741211,0.7525045871734619,-0.039931874722242355,0.8131418228149414,0.5091018676757812,0.24213021993637085,Central and Eastern Europe
101,Sierra Leone,7.449131965637207,0.6107797622680664,52.400001525878906,0.7177695631980896,0.07405570149421692,0.8738614320755005,0.5133752226829529,0.43813446164131165,Sub-Saharan Africa
102,Singapore,11.485980033874512,0.9249183535575867,77.0999984741211,0.9380417466163635,0.027229677885770798,0.06961960345506668,0.7225980162620544,0.13806915283203125,Southeast Asia
103,Slovakia,10.397956848144531,0.9330883026123047,69.19999694824219,0.7711215615272522,-0.12901543080806732,0.9258466958999634,0.7503795027732849,0.2518063187599182,Central and Eastern Europe
104,Slovenia,10.563304901123047,0.9494022727012634,71.4000015258789,0.9454305171966553,-0.10169173032045364,0.7854418158531189,0.6786946654319763,0.2278384566307068,Central and Eastern Europe
105,South Africa,9.432027816772461,0.8477197289466858,56.900001525878906,0.7383385300636292,-0.1339699774980545,0.8198236227035522,0.8005836009979248,0.26845622062683105,Sub-Saharan Africa
106,South Korea,10.661044120788574,0.7831608653068542,73.9000015258789,0.706032395362854,-0.05529502034187317,0.7176961302757263,0.684407114982605,0.2359665185213089,East Asia
107,Spain,10.618477821350098,0.9490134716033936,74.69999694824219,0.7779667377471924,-0.048638924956321716,0.7303376197814941,0.6633128523826599,0.315518319606781,Western Europe
108,Sri Lanka,9.478693962097168,0.8149391412734985,67.4000015258789,0.8242773413658142,0.051186613738536835,0.86334228515625,0.8163903951644897,0.3145427107810974,South Asia
109,Swaziland,9.069709777832031,0.759097695350647,51.27039337158203,0.5966824293136597,-0.19073791801929474,0.7235077619552612,0.7776272892951965,0.27959516644477844,Sub-Saharan Africa
110,Sweden,10.881908416748047,0.9336450695991516,72.69999694824219,0.9415152072906494,0.09102203696966171,0.2500879168510437,0.8262835144996643,0.2019997090101242,Western Europe
111,Switzerland,11.136453628540039,0.948512852191925,74.4000015258789,0.9131667017936707,0.03621544688940048,0.2937007546424866,0.797892689704895,0.17076177895069122,Western Europe
112,Tanzania,7.886239528656006,0.687267541885376,58.0,0.8501325249671936,0.10039015114307404,0.5892935991287231,0.7262386083602905,0.2430979460477829,Sub-Saharan Africa
113,Thailand,9.823529243469238,0.9030510187149048,67.4000015258789,0.8982446193695068,0.30883023142814636,0.8770397901535034,0.8428730964660645,0.20818360149860382,Southeast Asia
114,Togo,7.375211238861084,0.5387021899223328,55.099998474121094,0.6174197793006897,0.06477482616901398,0.7366750240325928,0.5902292728424072,0.4438698887825012,Sub-Saharan Africa
115,Tunisia,9.283180236816406,0.6095892786979675,67.19999694824219,0.659331738948822,-0.2088652402162552,0.8889047503471375,0.5389354228973389,0.43341347575187683,Middle East and North Africa
116,Turkey,10.245920181274414,0.7916561961174011,67.19999694824219,0.6310837864875793,-0.13558274507522583,0.7604421973228455,0.4222274720668793,0.36808866262435913,Middle East and North Africa
117,Uganda,7.687652587890625,0.8054873943328857,56.099998474121094,0.7043766379356384,0.1388212889432907,0.8256126046180725,0.6930824518203735,0.38522079586982727,Sub-Saharan Africa
118,Ukraine,9.458003997802734,0.8827264904975891,64.9000015258789,0.7153117656707764,-0.08101668953895569,0.8850049376487732,0.634227991104126,0.20113173127174377,Commonwealth of Independent States
119,United Kingdom,10.751484870910645,0.942681074142456,72.5,0.8540395498275757,0.2705574333667755,0.48509228229522705,0.7752032279968262,0.25101444125175476,Western Europe
120,United States,11.043353080749512,0.9166911244392395,68.19999694824219,0.8361390233039856,0.14429868757724762,0.7067155241966248,0.8149849772453308,0.24383366107940674,North America and ANZ
121,Uruguay,9.978644371032715,0.9334709644317627,69.0999984741211,0.9026787877082825,-0.09530318528413773,0.5993996262550354,0.8889660835266113,0.22173018753528595,Latin America and Caribbean
122,Uzbekistan,8.853480339050293,0.9152759313583374,65.4000015258789,0.9702945351600647,0.3042975962162018,0.5111968517303467,0.8448085188865662,0.21974551677703857,Commonwealth of Independent States
123,Vietnam,8.992330551147461,0.8475921154022217,68.0999984741211,0.9524691700935364,-0.12553076446056366,0.7878892421722412,0.7511599063873291,0.18561019003391266,Southeast Asia
124,Zambia,8.154642105102539,0.6378943920135498,55.79999923706055,0.8110398054122925,0.0774618536233902,0.8319560289382935,0.7434070706367493,0.39438527822494507,Sub-Saharan Africa
125,Zimbabwe,7.950131893157959,0.7591623067855835,56.20000076293945,0.63190758228302,-0.0637906938791275,0.8306518793106079,0.7160037755966187,0.23535433411598206,Sub-Saharan Africa
